No.,Nama Instagram,Komentar,Kategori,Tanggal Posting,Nama Akun IG  Artis/Selebgram
1,@delliananda,kaka tidur pagi gaboleh capek,Non-bullying,14 Oktober 2019,@isyanasarasvati
2,@fenninbl,makan nasi padang begini badan,Non-bullying,14 Oktober 2019,@isyanasarasvati
3,@abdurahmanshq,aku suka dia selalu cukur jembut sebelum manggung,Bullying,14 Oktober 2019,@isyanasarasvati
4,@najla.yoo,isyana aku fans banget sama isyanaaku paling suka lagu isyana lagu tetap dalam jiwa,Non-bullying,14 Oktober 2019,@isyanasarasvati
5,@dessy_______,manusia apa bidadari cantik terus,Non-bullying,14 Oktober 2019,@isyanasarasvati
6,@e.fril,kinantii isy ubah baju nakal,Bullying,14 Oktober 2019,@isyanasarasvati
7,@bahasa.bayi.planet,gemes isy tango lapis lapis,Non-bullying,16 September 2019,@isyanasarasvati
8,@khanayarudinita,jelek anak padahal ibu ayah cakep,Bullying,22 Juni 2019,@tasyakamila
9,@reniaulia225,anak tua muka tasya,Bullying,22 Juni 2019,@tasyakamila
10,@nurjanah.hani,muka anak tua banget gk gemes gk ada lucu2,Bullying,22 Juni 2019,@tasyakamila
11,@rizalandriawanp,muka muka kolot bu muka bayi lucu,Bullying,6 Juni 2019,@randibachtiar
12,@yudharamm,gila orang jomblo jadi psikolog ga laku jadi seperti,Bullying,24 Desember 2020,@lutfiagizal
13,@mubarakbasslom,lo sinting tingkat dewa,Bullying,24 Desember 2020,@lutfiagizal
14,@erma_09,lutfi sete putus dgn salsa seperti orang stress,Bullying,24 Desember 2020,@lutfiagizal
15,@rurrizki_maulana,anak tolol mulai aktif bund,Bullying,28 Oktober 2020,@lufiagizal
16,@lala.laxii,bisa mati ga gedeg gua liat anjim,Bullying,8 Desember 2020,@lutfiagizal
17,@menisa6634,lutfi asu  sok asik lo anjing,Bullying,8 Desember 2020,@lutfiagizal
18,@farsyahl_,kontol antem ayo bngst,Bullying,6 Desember 2020,@lutfiagizal
19,@lennyliando,ibu kamu lakor hamil luar nikah pantes anak gini modelan,Bullying,16 Juni 2020,@listychanpokemon
20,@tatianayaaaa,anak pinter mak kelempeng asa baby tinggi azka lebih mama,Bullying,25 Oktober 2020,@kalinaocktarany
21,@ferlista234,anak cerdas terbentuk dr pola asuh pola dik ortu cerdas pula pada sara sesimple,Non-bullying,25 Oktober 2020,@kalinaocktarany
22,@sekiya.sat,setengah iri setengah jadi motivasi,Non-bullying,25 Oktober 2020,@kalinaocktarany
23,@emi_muslikah,ancur hidup sama dia sumpah,Bullying,15 November 2020,@kalinaocktarany
24,@tetikasmy7615,serem banget muka lo l ayam potong rah banget,Bullying,27 Desember 2020,@rosameldianti_
25,@xcnadilax,yaudah jd ngusaha kuliner gausah artis makanan bik iler wkwkw,Non-bullying,27 Desember 2020,@rosameldianti_
26,@ghy.14,kamu cocok jadi ngusaha kuliner fixs semoha lancat terusssss,Non-bullying,27 Desember 2020,@rosameldianti_
27,@rubybee_16,tak sejelek image owner artis ups bu artis hallo secara tidak langsung semua orang tau image jelek gentong,Bullying,27 Desember 2020,@rosameldianti_
28,@syi_faalatas,apa gak jelas hidup,Bullying,28 Desember 2020,@rosameldianti_
29,@swity_nananana,sebelum aku unfoll aku mau bilang najissss,Bullying,28 Desember 2020,@rosameldianti_
30,@dellasss1,muka sensual tapi norak,Bullying,28 Desember 2020,@rosameldianti_
31,@bundafahryfahry,gk jam bully orang netizen nding aca kurang sendiri,Non-bullying,28 Desember 2020,@rosameldianti_
32,@jeenida_abdullah_aras,pas nempatan sebener kamu imut banget loh l,Non-bullying,28 Desember 2020,@rosameldianti_
33,@depoy110,cakep kaga jelek iya hahah,Bullying,28 Desember 2020,@rosameldianti_
34,@ferd.iansyah454,jari jari kaki jari tukang panggul,Bullying,26 Desember 2020,@rosameldianti_
35,@chenul98,kaki kek lagi hamil tua bun semacam kaki gajah,Bullying,26 Desember 2020,@rosameldianti_
36,@rani__ara,suka her sama hina fisik ternyata bener kita semua ndosa deng cara kita sendiri,Non-bullying,26 Desember 2020,@rosameldianti_
37,@octaviandiajeng,edit biar langsing padahal mah klo live bomber badan,Bullying,26 Desember 2020,@rosameldianti_
38,@rubybee_16,kaki gedong sayyy kek kaki jant upp  dia suka baur ama warwerwor mahluk astral kaki gedong,Bullying,26 Desember 2020,@rosameldianti_
39,@__yohanatan__,bagus foto pakai masker drpd gak pakai masker,Non-bullying,26 Desember 2020,@rosameldianti_
40,@hartaman_soe, kakak foto sebelum mek liat tebal mek kakak lagi bengkak yah,Bullying,26 Desember 2020,@rosameldianti_
41,@maskersssssj,bra kedodor make ukur gede,Bullying,20 Desember 2020,@rosameldianti_
42,@yiunita,nah cantik seneng usaha mbuah hasil semangat l semoga njadi pribadi lebih baik lagi,Non-bullying,20 Desember 2020,@rosameldianti_
43,@anggrainikoenang,mba bisa gk gk rem lek mata kaya orang cacing,Bullying,20 Desember 2020,@rosameldianti_
44,@nadhiya_za,semoga lancar terus usaha l,Non-bullying,20 Desember 2020,@rosameldianti_
45,@riaros,cantik banget kalo ldi muka natural kek gini,Non-bullying,20 Desember 2020,@rosameldianti_
46,@lialiya25,em cantik l kalo ga banyak gaya serius,Non-bullying,20 Desember 2020,@rosameldianti_
47,@dianaherdani18,kaku kek kanebo kering,Bullying,20 Desember 2020,@rosameldianti_
48,@priskaaben,semak glowing say natural gini bagus tambah prestasi say,Non-bullying,20 Desember 2020,@rosameldianti_
49,@apelu.liat2,ldi emak buka klinik totok aura kayak anak gak rnah totok aura gak liat ada ma butek,Bullying,22 Desember 2020,@rosameldianti_
50,@arjhunot,karena muka lo pasar l pasar sapi juga ada mirip noh,Bullying,22 Desember 2020,@rosameldianti_
51,@meta_fira,maap gua sering nyama sama dugong soal mirip,Bullying,22 Desember 2020,@rosameldianti_
52,@aii_rinz95,iya lo kamu mirip monyet l,Bullying,22 Desember 2020,@rosameldianti_
53,@dwiengine,bagus pantat panci aing atuh anjir,Bullying,22 Desember 2020,@rosameldianti_
54,@evilsilviani27,ga ada sama soal muka kamu sama deng muka badak muka beton ga ada malu,Bullying,22 Desember 2020,@rosameldianti_
55,@naviafadia,mbak ldi tambah cantik rahasia apa,Non-bullying,22 Desember 2020,@rosameldianti_
56,@lee406132,lengan gempal banget,Bullying,22 Desember 2020,@rosameldianti_
57,@ummuhumairoh__,fix komen semua nyela,Non-bullying,22 Desember 2020,@rosameldianti_
58,@mareeet30,ka gausah gubris gausah pikir syukur sama nikmat tuh kasih ke kaka gausah juga ata orang ka tetep syukur atas nikmat,Non-bullying,22 Desember 2020,@rosameldianti_
59,@rifkohalim,jari jari gede gede banget apalagi pas ikl makan i danau hambar jari jempol semua hawak bener,Bullying,22 Desember 2020,@rosameldianti_
60,@ooohh_vhie,jang sama muka  sama orang oi minta sama sama babi,Bullying,22 Desember 2020,@rosameldianti_
61,@effa.kejora,ga ada bawah ldi semua setara ada kurang ada kelebih,Non-bullying,22 Desember 2020,@rosameldianti_
62,@_goshop24,ka l gausah rendah orang la syukur atas langit juga ada langit lagi,Non-bullying,22 Desember 2020,@rosameldianti_
63,@jannahfamily1111,muka gak bantu kamera dekil d kumel,Bullying,22 Desember 2020,@rosameldianti_
64,@fannyyyyk,semua wanita cantik jang suka rasa lebih,Non-bullying,22 Desember 2020,@rosameldianti_
65,@taniaaw123,ldi dapat kontrak endorse skincare tapi muka tetap jelek si,Bullying,22 Desember 2020,@rosameldianti_
66,@juniartibs,gila netizen pada sempurna hina orang terus,Non-bullying,22 Desember 2020,@rosameldianti_
67,@zulfaqinan,semua pada mbang habis apa cowo ldi enak otak atik,Bullying,22 Desember 2020,@rosameldianti_
68,@dona_pitria,karena muka elo pasar d murah,Bullying,22 Desember 2020,@rosameldianti_
69,@nia_5446,muka buluk kepede lagi muka tua,Bullying,22 Desember 2020,@rosameldianti_
70,@tita.titt,muka kaya tai,Bullying,22 Desember 2020,@rosameldianti_
71,@harishshandi,sakit jiwa upil gajah kasih,Bullying,22 Desember 2020,@rosameldianti_
72,@sila.putri.526,jelek macam buntut kuali,Bullying,22 Desember 2020,@rosameldianti_
73,@lasi1977,ldi tambah kurus cantik walau tanpa make up,Non-bullying,22 Desember 2020,@rosameldianti_
74,@anisa_lubis12,elu juga semoga semakinlebih baik dalam segala hal terutama akhlak d etika,Non-bullying,31 Desember 2020,@rosameldianti_
75,@maryamcici29,mbak ll sehat d sukses,Non-bullying,31 Desember 2020,@rosameldianti_
76,@misscahyani,aami doa baik juga untuk ldi,Non-bullying,31 Desember 2020,@rosameldianti_
77,@vito_adn07,selamat tahun baru mbak semoga jadi pribadi lebih baik am,Non-bullying,31 Desember 2020,@rosameldianti_
78,@prelovedbabyzee_,ldi lama lama cantik loh tinggal bener akhlak d adab pasti sip,Non-bullying,31 Desember 2020,@rosameldianti_
79,@tkp995,ngambil foto sudah bagus mantap d keren tinggal ngambil arwah belum,Bullying,18 Desember 2020,@rosameldianti_
80,@andipulau123,gak ada cantikcantik,Bullying,18 Desember 2020,@rosameldianti_
81,@pmonaapr,kasi editor nanggung dosa banget kayak dit offside gini,Bullying,18 Desember 2020,@rosameldianti_
82,@dongo20200,lama lama mirip dewi rsik,Non-bullying,18 Desember 2020,@rosameldianti_
83,@arini.3367,pada julid padahal  ldi gak nyusah kalian,Non-bullying,18 Desember 2020,@rosameldianti_
84,@yunhistia,foto apa w masuk museum ga ada pantas2,Bullying,18 Desember 2020,@rosameldianti_
85,@adityazuko,gak umpul bareng mami isa lagi  kamu paling gembrot sana,Bullying,18 Desember 2020,@rosameldianti_
86,@drian_riza,lagu ga ada laku l,Bullying,18 Desember 2020,@rosameldianti_
87,@dsusilawa,lutut hitam gosok maning biar tambah cling d cantik,Bullying,18 Desember 2020,@rosameldianti_
88,@agustindian276,suka her sama warga 6 suka hujat orang mulu dapat pahala kagak dosa mah iya,Non-bullying,18 Desember 2020,@rosameldianti_
89,@rosameldiantifansclub,tambah cantik rosa ldianti,Non-bullying,18 Desember 2020,@rosameldianti_
90,@teukualmunawir,jadi ri sendiri jang jadi ular apalagi dugong,Bullying,18 Desember 2020,@rosameldianti_
91,@choyrohnissaakbar,saya suka sama mereka harmonis,Non-bullying,13 Desember 2020,@rosameldianti_
92,@riska_wn27,cantik banget pakai baju,Non-bullying,13 Desember 2020,@rosameldianti_
93,@fan_fani001,jujur kamu kalo anteng ga buat masa cantik l,Non-bullying,13 Desember 2020,@rosameldianti_
94,@satriakiranadwi,cowok ga ada cakep cakep,Bullying,13 Desember 2020,@rosameldianti_
95,@rubybee_16,foto tirus kalo video wariorr muka kek donat gak ada bentuk,Bullying,13 Desember 2020,@rosameldianti_
96,@mokarin_a,seki banyak foto posting paling cantik,Non-bullying,11 Desember 2020,@rosameldianti_
97,@rubybee_16,artis abalabal muka putih tang hitam ager atm isi apa,Bullying,11 Desember 2020,@rosameldianti_
98,@pendekar_payunghitam,muka penuh tekan banget,Bullying,11 Desember 2020,@rosameldianti_
99,@macankonner_streetfighter, cowok wajah culun d cupu om,Bullying,11 Desember 2020,@rosameldianti_
100,@yulimaya89,masyaal cantik terlihat sop d anggun,Non-bullying,11 Desember 2020,@rosameldianti_
101,@mywibowo,kang ojek kali belang tangan,Bullying,11 Desember 2020,@rosameldianti_
102,@juniartibs,seneng liat pasang cewe hujat 1 indonesia tapi dia tetep setia nemen,Non-bullying,11 Desember 2020,@rosameldianti_
103,@santosodimas23,dia putus njadi tumbal apartment,Bullying,11 Desember 2020,@rosameldianti_
104,@thirsthing,cantik l semangat etnyaa,Non-bullying,11 Desember 2020,@rosameldianti_
105,@fitrysyakieb,tang apa paha,Bullying,11 Desember 2020,@rosameldianti_
106,@mamggala,l sini kamu liat cakep,Non-bullying,11 Desember 2020,@rosameldianti_
107,@ajengrahayu80,muka lagi den pas boker,Bullying,11 Desember 2020,@rosameldianti_
108,@biankarachel,aduuh terlalu halu hhahaha lebay edit nyaa lemak kemana lemak hahhaaa mimpi ketinggi,Bullying,7 Desember 2020,@rosameldianti_
109,@moca_caca_,salfok sama kaki tapi cantik banget asli,Non-bullying,7 Desember 2020,@rosameldianti_
110,@ajengrahayu80,dy141 buset cantik edit mba coba asli buntel kentut,Bullying,7 Desember 2020,@rosameldianti_
111,@sufiliams,atas bawah hitam putih kek kopi luwak,Bullying,7 Desember 2020,@rosameldianti_
112,@kikysisilyaa,palsu badane edit semua tu asli mana lemak,Bullying,7 Desember 2020,@rosameldianti_
113,@taniaaw123,dapat kontrak skincare ttp buluk l,Bullying,7 Desember 2020,@rosameldianti_
114,@bunda_jannah,her sama netizen klo gk suka jang liat,Non-bullying,7 Desember 2020,@rosameldianti_
115,@sanainahpurnamasari,sukses selalu yah ka  semangat,Non-bullying,7 Desember 2020,@rosameldianti_
116,@rereresty94,jujur aku lebih suka ldi daripada dulu suka hujat orang,Non-bullying,7 Desember 2020,@rosameldianti_
117,@santi_azkadinasakhi,sumpah asli muka lo lebar baskom loh l,Bullying,7 Desember 2020,@rosameldianti_
118,@cece_rossalien,karya teros ldi walo ga ada nuntun kamu,Non-bullying,7 Desember 2020,@rosameldianti_
119,@wats_yor_namber,astaghfirul seram sekali bun seperti ular jelma makhluk halus bun,Bullying,30 November 2020,@rosameldianti_
120,@choyrohnissaakbar,d paling saya her cowok ikut bully sabar ldi,Non-bullying,30 November 2020,@rosameldianti_
121,@rubybee_16,astaga ratu edit muka sumpah seren film setan,Bullying,30 November 2020,@rosameldianti_
122,@fita_farah,mata katarak anjir ahahah,Bullying,30 November 2020,@rosameldianti_
123,@amandanna30,caption copas cantum credit dong dasar iblis,Bullying,30 November 2020,@rosameldianti_
124,@julypit_,unfoll daripada kalian dosa bully terus,Non-bullying,30 November 2020,@rosameldianti_
125,@hamzahifidafadafa,ldi aku rhati kamu seperti orang china cantik,Non-bullying,30 November 2020,@rosameldianti_
126,@kikysisilyaa,edit softlens keluar mbak ratu titis ular kamu,Bullying,30 November 2020,@rosameldianti_
127,@neng_fitri_masraina,kasih ular bawa bawa kamu gak pantas jadi ular pantas jadi bunglon atau buaya,Bullying,30 November 2020,@rosameldianti_
128,@evaelvaninda,maju trus sayang abai orang comment sakit,Non-bullying,30 November 2020,@rosameldianti_
129,@bilqistiarais,kasih kamu  hidup sekali cum buat bah hujat masyarakat mubadzir banget hidup lo napa gak bunuh ri,Bullying,30 November 2020,@rosameldianti_
130,@kevin_mara88,semangat l bahasa asing mah nting kita berani pasti entar bisa,Non-bullying,10 Januari 2021,@rosameldianti_
131,@sidrarachman,beda sama d foto sini lebar banget muka maaf foto edit,Bullying,10 Januari 2021,@rosameldianti_
132,@innetrii,ldi ski kadang mulut ku tak bisa rem karena halu tapi aku bangga a usaha  yuhuuu,Non-bullying,10 Januari 2021,@rosameldianti_
133,@indrilestari091197,lupa edit tu muka lar,Bullying,10 Januari 2021,@rosameldianti_
134,@luvmeltedcheese,semangatt salah dalam belajar bahasa asing nting karena mbelajar utama supaya salah ga terulang,Non-bullying,10 Januari 2021,@rosameldianti_
135,@macorask,kereennnn bully netizen jadi mau belajar,Non-bullying,10 Januari 2021,@rosameldianti_
136,@vellan_qerry_xeynando,hiiihhh jiik lihat nih orang aura buruk bgt gak ada manis manis,Bullying,10 Januari 2021,@rosameldianti_
137,@fimauni,semangat untuk belajar saya uga gak bisa bahasa inggris,Non-bullying,10 Januari 2021,@rosameldianti_
138,@lie_3071,nting ada niat d berani,Non-bullying,10 Januari 2021,@rosameldianti_
139,@momski_sri,salut l semangat belajar tawa juga belum tentu bisa d berani,Non-bullying,10 Januari 2021,@rosameldianti_
140,@yoan_gunarto22,gpp l semangat buat belajar trusssss jang gampang nyerah pokok,Non-bullying,10 Januari 2021,@rosameldianti_
141,@qoriah7588,setidak dia aku bu belagak pintar,Non-bullying,10 Januari 2021,@rosameldianti_
142,@apelu.liat2,jauh kalo arep bisa ikut kontes miss earth  maka kecil les inggris biar lidah gak keseleo,Bullying,10 Januari 2021,@rosameldianti_
143,@tiara_amd,cuma posting bund netizen sedikit nghujat,Non-bullying,29 November 2020,@rosameldianti_
144,@pikoochar,happy birthday l sehat d sukses yah aami,Non-bullying,29 November 2020,@rosameldianti_
145,@dwitrynurvita,happy birthday ldi imut n gemes tambah sukses selalu,Non-bullying,29 November 2020,@rosameldianti_
146,@goldyfonda,am ketiak d lemak edit parah,Bullying,29 November 2020,@rosameldianti_
147,@wina_lim0922,ketiak habis amplas l alus banget,Bullying,29 November 2020,@rosameldianti_
148,@kimoratwindy,edit ketiak tetap hitam,Bullying,29 November 2020,@rosameldianti_
149,@zamaleling,selamat ulang tahun l yah jang banyak tingkah,Non-bullying,29 November 2020,@rosameldianti_
150,@jualconversesecond24,muka kuning banget kaya kunyit,Bullying,29 November 2020,@rosameldianti_
151,@harhexa,selamat ulang tahun ldi sukses d sehat terus,Non-bullying,29 November 2020,@rosameldianti_
152,@rika_chuby,foto lain jang  banyak lebih cantik ihhh biar gak kena hujat kamu ihh aku mah kasih,Non-bullying,29 November 2020,@rosameldianti_
153,@raffa_wahyu_abadi88,hbd ldi semoga sukses selalu d panjang umur d rejeki lancar am,Non-bullying,29 November 2020,@rosameldianti_
154,@idcwhouareee,rasa kemar lengan kekar banget kek tinju ketiak juga hitam foto lengan jadi kecil ketiak putih kek bedak,Bullying,29 November 2020,@rosameldianti_
155,@_simaistia25bu,selamat ulang tahun  banyak sadar d jang pansos lagi yah am,Non-bullying,29 November 2020,@rosameldianti_
156,@pipidz888,hbd cantik semoga kedepan tambah sukses,Non-bullying,29 November 2020,@rosameldianti_
157,@niken_mutiara_sary,hbd mbak l tambah cantik panjang umur d sehat selalu,Non-bullying,29 November 2020,@rosameldianti_
158,@oliviacheecerezta,diri kaki sendiri lebih baik,Non-bullying,29 November 2020,@rosameldianti_
159,@_syakilaadinan_,biar edit kaya apa juga tetap ketiak hitam ga bisa bohong,Bullying,29 November 2020,@rosameldianti_
160,@ulfahh_zakiya,sumpah demi apa leng gede banget,Bullying,29 November 2020,@rosameldianti_
161,@ummu.valen,selamat ulang tahun panjang umur sampai kete dajjal,Bullying,29 November 2020,@rosameldianti_
162,@dicka_1991,ketiak hitam buluk mau edit nutup daki ketek tetap aka hitam ketiak dasar dugong,Bullying,29 November 2020,@rosameldianti_
163,@ridho52517,atm tinggal 150 ribu banyak gaya dugong,Bullying,29 November 2020,@rosameldianti_
164,@indah_zahin,gak ada bagus2 suara d pola,Bullying,29 November 2020,@rosameldianti_
165,@ginaiswahyuningsih,si ldi jelek banyak gaya beda banget sm tante n sepupu jelas cantik,Bullying,29 November 2020,@rosameldianti_
166,@sasqiaraz,tapi dia ubah gak dulu gue lihat,Non-bullying,29 November 2020,@rosameldianti_
167,@darkangel025_,dit ketiak apa ampe blur pis putih kek cat tembok,Bullying,29 November 2020,@rosameldianti_
168,@biankarachel,aduh dugong gila filter,Bullying,29 November 2020,@rosameldianti_
169,@zaskiaaaa97,bu muka dempul tapi ketiak juga,Bullying,29 November 2020,@rosameldianti_
170,@awanpanas125,kasi kebelet artis tapi gak pu bakat,Bullying,29 November 2020,@rosameldianti_
171,@hugoovianaaa,rasa liharaan lepas tolong angkut,Bullying,29 November 2020,@rosameldianti_
172,@christinaona5,miris banget ultah bu doa baik tapi tetap bully kasi  god bless u l,Non-bullying,29 November 2020,@rosameldianti_
173,@lunaaluna91,mudah mudah jadi gembel am al,Bullying,29 November 2020,@rosameldianti_
174,@putri_lintang0,ketiak hitam kasih bedak jadi abu monyet,Bullying,29 November 2020,@rosameldianti_
175,@ananda_dhenanda,her gua mah gasuka gausah follow tau ni akun private kalo tetap follow d buli tanda sirik gasuka gausah liat kaya ri sempurna,Non-bullying,29 November 2020,@rosameldianti_
176,@forthriftpurpose,gua harap si sakit bu laura lol,Bullying,8 Agustus 2020,@gagamuhammad
177,@lailyfazriah,harus lo nderitaaa bu lora anj,Bullying,8 Agustus 2020,@gagamuhammad
178,@masihadanamanya,gaga sempet bener lora lo tinggal lo orang paling jahat ga lo gak bakal bahagia ga,Bullying,8 Agustus 2020,@gagamuhammad
179,@nandaanvta_,bener gakalo sempet nyakit lora gue santet,Bullying,8 Agustus 2020,@gagamuhammad
180,@ptriazkytlf,si gaga kek anjing,Bullying,8 Agustus 2020,@gagamuhammad
181,@dandipriambodo,semangat gaga jang liat kebelakang fokus kedep muda banyak lebih baik juga,Non-bullying,8 Agustus 2020,@gagamuhammad
182,@fauziahamanda_02,gak ada cantik gila ada,Bullying,13 Januari 2021,@rosameldianti_
183,@rezaadhitia_,ldi sinar yaaa rtahan karir jgn sia sia,Non-bullying,13 Januari 2021,@rosameldianti_
184,@anq.olshop,tetap semangat sebaik apa kamu a da mata mbenci,Non-bullying,13 Januari 2021,@rosameldianti_
185,@maya_purple14,asli gak ada bebet bobo ni anak kasih sekali,Bullying,13 Januari 2021,@rosameldianti_
186,@hannyjamal33,kumat lama semedi segini keluar,Bullying,13 Januari 2021,@rosameldianti_
187,@zulfaqinan,tangan hitam beda ama muka,Bullying,13 Januari 2021,@rosameldianti_
188,@sabil.naura.2,ldi foto aku gendut beda,Bullying,13 Januari 2021,@rosameldianti_
189,@adiknya_wwatch.ig,gatau cantik tapi gak ada aura sama sekali  cantik tapi idih lihat ,Bullying,13 Januari 2021,@rosameldianti_
190,@dewie_ten11,baik buruk kamu a tetap terlihat buruk mata mereka ga nyukai ,Non-bullying,13 Januari 2021,@rosameldianti_
191,@louizee_fa,gila ni silum story orang la liat banget tumpukan lemak burik apalagi,Bullying,13 Januari 2021,@rosameldianti_
192,@hendrik_baronn,dasar bego gua jijik sama bro gak pu otak banget,Bullying,5 Mei 2020,@ferdianpalekaa00
193,@adellaberrr,lo kira lo bagus tuh begitu anjing wkwkw,Bullying,5 Mei 2020,@ferdianpalekaa00
194,@ha_ri2431,maaf aaa semoga dia jera untuk kedepan,Non-bullying,5 Mei 2020,@ferdianpalekaa00
195,@kicek_kocak,eh bocah nding lo mati gak guna juga ada orang lo hahahahaha,Bullying,5 Mei 2020,@ferdianpalekaa00
196,@azzamyluth6802,btw video tapi boong dia buat tahun lalu bu pas masa gak rcaya lihat tribun news jadi jang hujat dia lagi,Non-bullying,5 Mei 2020,@ferdianpalekaa00
197,@louis.edrt,okay bro kalem tetap semangat d jang putus asa,Non-bullying,5 Mei 2020,@ferdianpalekaa00
198,@fran_oez11,mati aja  biar gak bik ribet,Bullying,5 Mei 2020,@ferdianpalekaa00
199,@setiawan_jo22,sampah masyarakat harus musnah segera,Bullying,5 Mei 2020,@ferdianpalekaa00
200,@iibaaall,mati kau najis kontol bangsat mati kau,Bullying,5 Mei 2020,@ferdianpalekaa00
201,@setyawan_yoyok,youtuber toxic tutup akun sekali tutup usia,Bullying,5 Mei 2020,@ferdianpalekaa00
202,@gunawan_fahreza,pada ribet pada benar semua,Non-bullying,5 Mei 2020,@ferdianpalekaa00
203,@zr_cho,jang ada hitam atas putih langsung proses,Non-bullying,5 Mei 2020,@ferdianpalekaa00
204,@farhanaja_,sayang sama anak serah ke polisi biar dik sekali,Non-bullying,5 Mei 2020,@ferdianpalekaa00
205,@lastriani05,manusia apa hew gak pu hati banget,Bullying,5 Mei 2020,@ferdianpalekaa00
206,@adhiprasetyop,manusia anjing nyari uang amat lo kerja sama gue nyebok gue ntar gue gaji lo,Bullying,5 Mei 2020,@ferdianpalekaa00
207,@arief_metafora_,maklum anak kurang ndidi gak pu akhlak,Bullying,5 Mei 2020,@ferdianpalekaa00
208,@mr_mantako,anjing mang anak gak tau ri ibu sampai nangis,Bullying,5 Mei 2020,@ferdianpalekaa00
209,@erikkansona,oi babi gue bunuh sampai kelihat sumpah,Bullying,22 Mei 2020,@ferdianpalekaa00
210,@bagusssrh,heee sampah gua maaf tapi boong goblok,Bullying,22 Mei 2020,@ferdianpalekaa00
211,@ibnufasha_16,anjing sini lo baku hantam ayo,Bullying,22 Mei 2020,@ferdianpalekaa00
212,@zibah25,bangkit bang jang lemah buat lajar d uji buat jadi lebih baik lagi bang,Non-bullying,28 Juni 2020,@ferdianpalekaa00
