No.,Nama Instagram,Komentar,Kategori,Tanggal Posting,Nama Akun IG  Artis/Selebgram
213,@adeellristi13_,jang patah semngat sukses terus,Non-bullying,28 Juni 2020,@ferdianpalekaa00
214,@onlyone_dhii,semangat ferdi gausah denger orang hujat kamu karena semua manusia tidak luput salah,Non-bullying,28 Juni 2020,@ferdianpalekaa00
215,@zanuri111,sumpah aku respect banget sama kamu,Non-bullying,28 Juni 2020,@ferdianpalekaa00
216,@jannah.henna,nurutku pribadi dia tulus minta maaf,Non-bullying,28 Juni 2020,@ferdianpalekaa00
217,@26cc.l,kasih bidadari mau boneka santet,Bullying,20 Maret 2020,@eeericko
218,@lidiii.lyy16,ilang respect gue padahal jane setia bgt sama tapi ma cewe pas keluar dri njara lol,Non-bullying,20 Maret 2020,@eeericko
219,@frdriko_,hapus ajh ni poto k tau malu bgt bang,Non-bullying,20 Maret 2020,@eeericko
220,@izgraphic,inti gasuka ajg selama ada listy  rusak suasana,Bullying,20 Maret 2020,@eeericko
221,@agrapranaaaaaa,foto ada  anjing d 1 kontol,Bullying,20 Maret 2020,@eeericko
222,@bilqissiee,kasi banget jane nunggu keluar njara eh tau  waw sakit siih,Non-bullying,20 Maret 2020,@eeericko
223,@candrwijya,puny cewk baik selingkuh g otak,Bullying,20 Maret 2020,@eeericko
224,@yusuf_rafi20,inget potong masa bu hubung tapi kalo gini sembeleh orang  terlanjur kecewa,Bullying,20 Maret 2020,@eeericko
225,@shinlamanepa,buat konten masa putus foto tabi sama jessica engga hapus,Non-bullying,20 Maret 2020,@eeericko
226,@ajilpoo_,tiap mau makan bik ama jess tpi ma hianat gila,Non-bullying,20 Maret 2020,@eeericko
227,@frdriko_,parah bang nama rusak karna narkoba ma nambah masa ajh truss,Non-bullying,20 Maret 2020,@eeericko
228,@guardo_purbaa,anjing mirip sama erick,Bullying,20 Maret 2020,@eeericko
229,@_ilhammputra,muka pas sok sok  mau sm lonte lo anjing,Bullying,20 Maret 2020,@eeericko
230,@keylanamira01,sama anjing lebih baik anjing,Bullying,20 Maret 2020,@eeericko
231,@jeremyya_,ada babi jgn gang tuh anjing harga ri lebih tinggi dripada lo,Bullying,20 Maret 2020,@eeericko
232,@lukmanul.16,santuy bang ga usah tanggepinbtw gw suka gaya lo,Non-bullying,20 Maret 2020,@eeericko
233,@allyv_zkrri,narkoboy kontol cuma bisa maen cewe sama nyakit doang anjing mati bego,Bullying,20 Maret 2020,@eeericko
234,@kirananti1,tetep njara ajg nyusah lo keluar,Bullying,20 Maret 2020,@eeericko
235,@hijabmurah.reseller,cewe cakep setia sia sia sahabat,Non-bullying,20 Maret 2020,@eeericko
236,@lesyaarr,loh ak liat anjing semua,Bullying,20 Maret 2020,@eeericko
237,@dian.iswr,anjing ada dua guys tapi lagi satu gue liat ada babi item,Bullying,20 Maret 2020,@eeericko
238,@_mang_agus_,mant anjing eh kebalik anjing mant,Bullying,20 Maret 2020,@eeericko
239,@niko_panji.bp,bik skandal karena kepengen tenar,Non-bullying,20 Maret 2020,@eeericko
240,@randy.bm_,wiii anjay kap lagi liat babi gang  anjing,Bullying,20 Maret 2020,@eeericko
241,@vrtma24,foto babi sedang meluk anjing milik bidadari,Bullying,20 Maret 2020,@eeericko
242,@cyr.yra,babi g pantes nyentuh anjing bidadari nanti kotor,Bullying,20 Maret 2020,@eeericko
243,@liviarmdhy,sesama anjing foto dulu ,Bullying,20 Maret 2020,@eeericko
244,@nayyx_ra,potret seorjing megang anjing kwkw,Bullying,20 Maret 2020,@eeericko
245,@fckngmelowedtz_,heh napa hate cape gw baca,Non-bullying,20 Maret 2020,@eeericko
246,@orangejusi,waduh ma lebih ganteng anjing eh eh bah ga pantes sebut anjing anjing  setia pantes babi hahahaha,Bullying,20 Maret 2020,@eeericko
247,@biancapratiwi_,kalo lomba sama sm babi babi nmr ,Bullying,20 Maret 2020,@eeericko
248,@eulisriskasbla,si anjing ketika foto deng si anjing,Bullying,20 Maret 2020,@eeericko
249,@alyafdhlh_,jessica nungguinsetia sm loh pas ad masa kmrn tapi ga harga ma lbh milih d sono,Non-bullying,20 Maret 2020,@eeericko
250,@paris.saintjerman,erikontolim manusia babi anak lonte,Bullying,20 Maret 2020,@eeericko
251,@alshvfdl,hargai hati wanita tulus nemen lo 0,Non-bullying,20 Maret 2020,@eeericko
252,@umawww_,tapi bagus erick mutus jessica karna erick kelaku ny begituu coba liat jessica,Non-bullying,20 Maret 2020,@eeericko
253,@immjeafhlvi_,anjing hebat bisa pake kacamata,Bullying,20 Maret 2020,@eeericko
254,@syafafalasifah,sdh lh nasi jdi bubur ga bisa lagi bentuk kek semulaaa,Non-bullying,20 Maret 2020,@eeericko
255,@ferdiikun,kukira kehadiran a njadi sesuatu kebangga ternyata tidak,Non-bullying,20 Maret 2020,@eeericko
256,@raihan.kh,ada 3 ajg d pu tato bener ajg,Bullying,20 Maret 2020,@eeericko
257,@epannalzz,dasar orang tua gada akhlakngajar anak ga bener,Bullying,20 Maret 2020,@eeericko
258,@kvnsktta,erik ada bisa jelas gw ga update soal maap,Non-bullying,20 Maret 2020,@eeericko
259,@gilbert_gotardo,eh jang dekat dekat sama anjing ci jessica gua lempar,Bullying,20 Maret 2020,@eeericko
260,@leonardis445,guys dr pd comment nding unfoll sm unsubscribe,Non-bullying,20 Maret 2020,@eeericko
261,@qnfkn,babi lagi ma ma anjing,Bullying,20 Maret 2020,@eeericko
262,@njums_0101,kasi bidadari ma pilih babi,Bullying,20 Maret 2020,@eeericko
263,@abrxrr,posting rtama jg hujat dong gila netijen,Non-bullying,20 Maret 2020,@eeericko
264,@mosessavero_,baru kali lihat anjing sama babi bai,Bullying,20 Maret 2020,@eeericko
265,@kgaadanamany,kasih bidadari ma milih set,Bullying,20 Maret 2020,@eeericko
266,@amytwbw_y4to3hand,padahal gw g mau benci ama bro tpi ada tingkah lenceng,Non-bullying,20 Maret 2020,@eeericko
267,@nnunnoadrn_,sikap  lebih najis daripada ludah anjing,Bullying,20 Maret 2020,@eeericko
268,@RZIKIILHAM568,njir ski lama nih poto post tapi banyak komen baru,Non-bullying,20 Maret 2020,@eeericko
269,@nisauliaaa._,kesini cmn mo liat komen,Non-bullying,20 Maret 2020,@eeericko
270,@mhmmdtaufik_7,buset hate comment ampe posting paling bawah,Non-bullying,20 Maret 2020,@eeericko
271,@_nia_zzhh,foto upload 20 maret comment 1 jam  jam 3 jam lalu,Non-bullying,20 Maret 2020,@eeericko
272,@hamdiham_71,pantes banyak utang buat bayar lonte,Bullying,20 Maret 2020,@eeericko
273,@im.timothy_, 3 tutup botol muka kek kontol,Bullying,20 Maret 2020,@eeericko
274,@callme__riska26,astaga pagi bik akak ama komen netijen mng suka bener,Non-bullying,20 Maret 2020,@eeericko
275,@kepo.luanjng_,gw capek baca komen kalian,Non-bullying,20 Maret 2020,@eeericko
276,@filsiyiii,liat bgt anjing ketakut foto sama dakjal,Bullying,20 Maret 2020,@eeericko
277,@andrydhstywn,astaga hujat sampe posting paling bawah,Non-bullying,20 Maret 2020,@eeericko
278,@suka.prihatin,lebih najis elu daripada anjing,Bullying,20 Maret 2020,@eeericko
279,@reandraalkautsr_, ekor anjing d satu buaya makan jambut,Bullying,20 Maret 2020,@eeericko
280,@ramdhn._.n,kalo suruh lihara anjingeric gw pilih anjing ski najis tapi lebih najis erick kontol,Bullying,20 Maret 2020,@eeericko
281,@rakaakmaall,apa si pada judge mikir dulu dia putus juga sebelum kejadi tolol,Non-bullying,20 Maret 2020,@eeericko
282,@rikaas0805,hargai wanita dia dekati banyak pria tetapi tetap milih,Non-bullying,20 Maret 2020,@eeericko
283,@_raibaru19,ternyata sipat anjing bu ha ada anjing doang yadi manusia sipat anjing juga ternyata ada,Bullying,20 Maret 2020,@eeericko
284,@rafaelardan_,potret ketika anjing poto deng set,Bullying,20 Maret 2020,@eeericko
285,@ananddmanangkasi,bantu bedainn woyy mana anjing mana babi,Bullying,20 Maret 2020,@eeericko
286,@aji_0310,udaah woii udahh gak kasih apa aku capek like komen kalian,Non-bullying,20 Maret 2020,@eeericko
287,@gudlukinhmn,3 anjing 1 anjing wujud manusia  anjing asli tak ada rwujud aowkwkw,Bullying,20 Maret 2020,@eeericko
288,@trishapermata,kasi gue sama anjing pegang dajjal,Bullying,20 Maret 2020,@eeericko
289,@rizal.saputraa_,kasi anjing gang babi,Bullying,20 Maret 2020,@eeericko
290,@boyvoyej,lo kontol gak guna ajg anak dakjal,Bullying,20 Maret 2020,@eeericko
291,@hydir.syptra_24,mukak lebih buruk daripada anjing,Bullying,20 Maret 2020,@eeericko
292,@ganimhermawan,kasi bening ma milih daki,Bullying,20 Maret 2020,@eeericko
293,@dhirgalambe,nding masuk njara lagi seumur hidup,Bullying,20 Maret 2020,@eeericko
294,@deksiyan_,lbih lucu anjing ktimbang orang,Bullying,20 Maret 2020,@eeericko
295,@ninini.nt,akhir jesica bisa lepas kambing hitam,Bullying,20 Maret 2020,@eeericko
296,@rayyan11079,maaf bro semua orang pasti ada salah dia juga pasti ada salah nasehat siapa tau dia ubah,Non-bullying,20 Maret 2020,@eeericko
297,@delvyanawuu,kasi anjing peluk sma sampahh,Bullying,20 Maret 2020,@eeericko
298,@nico_muhammad99,gua kira keluar njara bisa ubah,Non-bullying,20 Maret 2020,@eeericko
299,@nyanya6300,cinta ha sebatas kertas wkwkw enteng bang,Non-bullying,20 Maret 2020,@eeericko
300,@shashaan_,padahal sejak dia sama jane aku lebih respect  bener hilang respect,Non-bullying,20 Maret 2020,@eeericko
301,@moonicagstt,nemen masa tersulit lo pas keluar ma selingkuh ga nyangka idola gua sesampah,Bullying,20 Maret 2020,@eeericko
302,@meidika29500,hujat habis semua posting lama ada komen baru,Non-bullying,20 Maret 2020,@eeericko
303,@eeeannisa,gua gabisa beda mana anjing mana manusia keliatan sama,Bullying,20 Maret 2020,@eeericko
304,@_abiyyuatha,mirip anak kick andy nama marlo bang,Non-bullying,26 Maret 2020,@eeericko
305,@gevin.reski,ada orang baik  karna ada orang jahat,Non-bullying,26 Maret 2020,@eeericko
306,@elgistazmn,ga ada niat ada ngaji bang,Non-bullying,26 Maret 2020,@eeericko
307,@destiatnrr_,suka banget sama rambutnyaa tambah ganteng,Non-bullying,26 Maret 2020,@eeericko
308,@seedflyy, ada ada kaya gini bilang king king muke kaya tai musang,Bullying,26 Maret 2020,@eeericko
309,@lanzx.ml,ninggal li demi tai babi h,Bullying,26 Maret 2020,@eeericko
310,@hafizdonjuan,ganteng kaga begitu ma liat kaya daki kontol,Bullying,26 Maret 2020,@eeericko
311,@aliffprmanaa,mukak lo tapir kuda asu sok ganteng banget lo,Bullying,26 Maret 2020,@eeericko
312,@anjuketaren,banyak kecewa karena begini rik,Non-bullying,26 Maret 2020,@eeericko
313,@maymichelle99,maap yemuke jelek kaga usah sok selingkuhcakep anjing gua noh,Bullying,26 Maret 2020,@eeericko
314,@ekoxapriyanto,apa si hebat banci badan penuh koreng kaya lo,Bullying,26 Maret 2020,@eeericko
315,@zorgiansyah,gini dong sih kaga kek tahun tahun sebelum dekil,Bullying,26 Maret 2020,@eeericko
316,@anisazaharaf,muka keriput kek aki aki,Bullying,26 Maret 2020,@eeericko
317,@wijaya_stanleyp9,foto jelek hujat foto ganteng bilang sok ganteng,Non-bullying,26 Maret 2020,@eeericko
318,@rejabiann,kebanya nyabu jadi kurus,Bullying,28 Maret 2020,@eeericko
319,@robilmlna,narkoboyy luar lidahh ajg mau apa mau tes ur,Bullying,28 Maret 2020,@eeericko
320,@evan_01_,fotolu de anjrit muka tu anjrit,Bullying,28 Maret 2020,@eeericko
321,@ahmd_yahdi,hidup jngn keterlalu boss playboy amat ajg luu,Bullying,28 Maret 2020,@eeericko
322,@xxyszx,mukalu kek aktor bokep bgst nding obat luu,Bullying,28 Maret 2020,@eeericko
323,@regitaaeh,jelek semangattt pulak,Bullying,28 Maret 2020,@eeericko
324,@retfyfiani,muka seren bik mual liat,Bullying,28 Maret 2020,@eeericko
325,@riotw35,sana anjing we ama lonte bangsat,Bullying,28 Maret 2020,@eeericko
326,@squad_nihh_boss_official,muka kek kontol nding njara,Bullying,28 Maret 2020,@eeericko
327,@adeliaa_azka,muka kek banci h najis,Bullying,28 Maret 2020,@eeericko
328,@nandadzrizkia,ntar mati dalam keada konyol,Bullying,28 Maret 2020,@eeericko
329,@lrp_by_nexttime,mau bilang jelek ga enak hehe,Bullying,28 Maret 2020,@eeericko
330,@aowkaowkaowk__,idihhhhh pantes foto keluar lidah gtu trnyata tukang jilat,Bullying,28 Maret 2020,@eeericko
331,@your667_,nih orang kalo lomba mirip babibabi juara ,Bullying,28 Maret 2020,@eeericko
332,@farahh.fh,titis dakjal emg lo nyet,Bullying,28 Maret 2020,@eeericko
333,@nrsuciwss2,et muka aje h biar sampah kete sampah biar busuk sama,Bullying,28 Maret 2020,@eeericko
334,@frdtias_,jijik astagah sok bat cakep njs,Bullying,28 Maret 2020,@eeericko
335,@duba_ng,bully  ig lebih ri daripada fb ajg gua jadi rii ajgg,Non-bullying,28 Maret 2020,@eeericko
336,@arshylaaa,buriq brengsek pula pantes dapet lonte,Bullying,28 Maret 2020,@eeericko
337,@yasn.a692,muka kampung gaya sok so kota nyet,Bullying,28 Maret 2020,@eeericko
338,@gudlukinhmn,apa lidah lo stroke am gtu,Bullying,28 Maret 2020,@eeericko
339,@gudlukinhmn,ciah hujat 1 indonesia jang sampe bunuh ri komtoll kami blom puas uat kauuu,Bullying,28 Maret 2020,@eeericko
340,@ms.rquell,org kampung otak dusun gaya soso hype ttep gabisa nutup muka babu,Bullying,28 Maret 2020,@eeericko
341,@fatimahhss1128,cowo foto liat lidah jam jijik gue apa lagi minus akhlak kek gini,Bullying,28 Maret 2020,@eeericko
342,@noverinaparticia10,anjing gue jg ogah liat muke,Bullying,28 Maret 2020,@eeericko
343,@azzahrariyaanni,g bole let dosaa rik,Non-bullying,28 Maret 2020,@eeericko
344,@mel.echan,pa let let mau jilat tai tabi,Bullying,28 Maret 2020,@eeericko
345,@nikhtavani,set emg let teross jijik asuuu,Bullying,28 Maret 2020,@eeericko
346,@anggi.bharuddin,ni anak lahir krna kondom bocor ga ada rasa syukur muka selangkang gorilla dpt cewe cntik jessica setia dll ma sia2 bgsad,Bullying,28 Maret 2020,@eeericko
347,@sns_sub,apa si let sok ganteng,Bullying,28 Maret 2020,@eeericko
348,@lilianaameera,muka kek slangkang biawak aje bnyk blagu,Bullying,28 Maret 2020,@eeericko
349,@yustinushw,sumpah jahat banget bener kasi sama jessica,Non-bullying,28 Maret 2020,@eeericko
350,@wibimaulana7,anjing gk pantes sama bidadari,Bullying,28 Maret 2020,@eeericko
351,@olivesiahaan_,let mulu set kaya ular,Bullying,28 Maret 2020,@eeericko
352,@joxaeline,njr let let gw kira hew,Bullying,28 Maret 2020,@eeericko
353,@aaurellp,gtu dh kek anjg lo kang,Bullying,28 Maret 2020,@eeericko
354,@charlespontoh75,gw kesini ngen liat babang sumpah feeling gw bener mirip banget ama reynhard sinaga,Non-bullying,28 Maret 2020,@eeericko
355,@hadafajri,let si kaya hew wkwkwkwk,Bullying,28 Maret 2020,@eeericko
356,@chellolix,iuu milih iblis drpd bidadarii kwkwkw jyjyq,Bullying,28 Maret 2020,@eeericko
357,@_sugarr_babyy,let kaya anjing eh  emah anjing,Bullying,28 Maret 2020,@eeericko
358,@beejr1425,ga nyadar nih sampah,Bullying,28 Maret 2020,@eeericko
359,@chindyylls,lidah banyak kum and virus nih,Bullying,28 Maret 2020,@eeericko
360,@arga_kncn,awal ira baju endorse kfc mirip,Non-bullying,7 April 2020,@eeericko
361,@mas_eng37,gua mau lo terus karya  rbaiki tinggal negatif  tidak ada kata terlambat  ttp jadi orang hebat d selalu bahagia,Non-bullying,7 April 2020,@eeericko
362,@mhmd.rfly24,cita cita ing jadi pakboi  eh tapi ma jadi narkoboy nasibnasib,Bullying,7 April 2020,@eeericko
363,@onelsrjy,napa balik njara,Bullying,7 April 2020,@eeericko
364,@tinox___xx,nding pada tobat,Non-bullying,7 April 2020,@eeericko
365,@regitaaeh,selama penjara apalo sikat gigi bau baubau aroma bangsatttt,Bullying,7 April 2020,@eeericko
366,@vallz_12,gigi lo ada apa jigong atau kondom nyangkut,Bullying,7 April 2020,@eeericko
367,@cxxrloo,muka kek anjing rumah gwa,Bullying,7 April 2020,@eeericko
368,@pufftlm,woi anak anjing apa hidup bgst,Bullying,7 April 2020,@eeericko
369,@ppendjol,jelek gak usah d jelek lagi bro,Bullying,7 April 2020,@eeericko
370,@dian_pramana24,ganteng kagak bakat juga kagak kelebihan mana cobak,Bullying,7 April 2020,@eeericko
371,@ayumeiaa,benci ama orang jelek pake selingkuh segala,Bullying,7 April 2020,@eeericko
372,@cal1s_,tutup mulut bau kambing,Bullying,7 April 2020,@eeericko
373,@bram_reza,jual jual knp ga jadi yutuber lagi bro takut ga ada nntn yah,Bullying,7 Mei 2020,@eeericko
374,@brandyy_26___,randy pangalila klo gk pake kacamata,Non-bullying,7 Mei 2020,@eeericko
375,@farhaadeliasiregar,entah knp liat muka bg eric kaya enak  pada dulu,Non-bullying,7 Mei 2020,@eeericko
376,@amv.seninjashu,apa ganteng nyasih anjing kucel gini jadi model,Bullying,7 Mei 2020,@eeericko
377,@cxxrloo,kek dia liat masa dep hancur,Bullying,7 Mei 2020,@eeericko
378,@fhrntsy,ingett hidup lo dulu ga seenak rikkk hidup lo susah salam temen smp pas lo burikkk eh sama,Bullying,7 Mei 2020,@eeericko
379,@benie_dermawan,yaaaa yaaa kalo liat muka sumpah sel banget dahoprasi dulu sonobiar ganteng kit d kalo jln ke mall gk kenal orng,Bullying,7 Mei 2020,@eeericko
380,@aralinaphee,dia siapa artis bu jelek mah iya muka iyuhhh,Bullying,7 Mei 2020,@eeericko
381,@asbdidjdk,bu era lo lagi nding lo mati babi kalo baca bales nyet,Bullying,7 Mei 2020,@eeericko
382,@rksalfiansyah_,saya segenap hati minta maap,Non-bullying,7 Mei 2020,@eeericko
383,@aardyyyy,dulu bahagia banyak utang,Bullying,2 Juni 2020,@eeericko
384,@holiaulabenn,harus lebih maju kelas rik ga jaman lg toxic d ga atur build sistem you will be big,Non-bullying,2 Juni 2020,@eeericko
385,@ramadhanap__,edit sama konsep nice banget lahhh,Non-bullying,2 Juni 2020,@eeericko
386,@mchll.ra,iri sama babi hahah najis,Bullying,2 Juni 2020,@eeericko
387,@rulyysetiawan87,lo dulu bukan dulu kaya anjing kaya babi,Bullying,2 Juni 2020,@eeericko
388,@gadiiiiisssss,jelek tukang selingkuh lo buriq,Bullying,2 Juni 2020,@eeericko
389,@nikitadmynti.s,kalian komen pada kek gini,Non-bullying,2 Juni 2020,@eeericko
390,@keyzha.anindia,rick tuh jadi manusia kek gk ada guna lahir kedunia untuk buat baik sayang cewa org la gimana mo masuk surga,Bullying,2 Juni 2020,@eeericko
391,@naufal_fadillah.20,kalian kaloga cocok mau paksa,Non-bullying,2 Juni 2020,@eeericko
392,@gideonadi.1st,biar  kita gatau gimana asli masa kalian semua ambil keputus sepihakkalo takdir gaada bisa nentang njir,Non-bullying,2 Juni 2020,@eeericko
393,@afrianyriz_,cocok orang baik mah buat org baik kalo bejat mah cocok buat bejat juga ehehe,Bullying,2 Juni 2020,@eeericko
394,@rzqimuln__,erick goblokma pacar ama lonte anjso bat,Bullying,2 Juni 2020,@eeericko
395,@annisachaan_,cocok banget sama orang gak bener biar dia hancur sama,Bullying,2 Juni 2020,@eeericko
396,@xrygirlz,eh kek ada nampa lonte,Bullying,2 Juni 2020,@eeericko
397,@mhmmdfarrel21_,ninggal li demi tai sapi,Bullying,2 Juni 2020,@eeericko
398,@rzkychdra_,bu era lo lgi wkwkw skrng lo penuh deng cacimaki telen ludah sendiri,Bullying,2 Juni 2020,@eeericko
399,@fanzz14_,pantes sini mulai si ajg u,Bullying,2 Juni 2020,@eeericko
400,@gritlechan02,open bo ga bang si listy kebetul ada omom nyari cwe ngalam,Bullying,2 Juni 2020,@eeericko
401,@_leean3,buah nangka buah kemanggi gak ada akhlak babi,Bullying,2 Juni 2020,@eeericko
402,@kntl0_0,rlah karir ancur bro d a kembali kebaw,Bullying,2 Juni 2020,@eeericko
403,@kristin26_,biar  bangkrut ceo gatau trimakasih,Bullying,2 Juni 2020,@eeericko
404,@dadidawww__,apa juga inap rumah cowo gaada keluarga lg lo,Bullying,2 Juni 2020,@eeericko
405,@dhifi_3,eh ada lakor pas banget frame ke tiga orang ke 3,Bullying,2 Juni 2020,@eeericko
406,@xdebyy23,anak gblk kasi li ma milih kerikil,Bullying,2 Juni 2020,@eeericko
407,@ldydna_,kasih bidadari ma milih dajjal awokawokv,Bullying,2 Juni 2020,@eeericko
408,@teamlistychan,jang cum bisa hina dong sadar kalian ga sempurna sama kaya kami,Non-bullying,2 Juni 2020,@eeericko
409,@ndysan,kesih gue sama org otak dangkal kek gini,Bullying,2 Juni 2020,@eeericko
410,@_nanellchaan,murahh banget lo jijik gue  kick evos m open bo,Bullying,2 Juni 2020,@eeericko
411,@hfizdonjuan,seneng sekali nyesel seumur hidup miris banget hidup tolol ninggal li indah pandang d sayang demi segumpal tai kucing,Bullying,2 Juni 2020,@eeericko
412,@callmehanif_,indah mandang banyak lont lont mau jual,Bullying,2 Juni 2020,@eeericko
413,@jeihanfatiya,bidadari sudah tunju  bahwa mmg g pantes sma dajjal g tau ri,Bullying,2 Juni 2020,@eeericko
414,@christimrbn._,siapa tolong kasih tau aku masa apaa gais,Non-bullying,2 Juni 2020,@eeericko
415,@mylndll_,kasih hati malaikat milih hati iblis greget,Bullying,2 Juni 2020,@eeericko
416,@hvo.id,kasih bidadari ma pilih kotor,Bullying,2 Juni 2020,@eeericko
417,@owengbrl,kasih bidadari ma minta lonte,Bullying,2 Juni 2020,@eeericko
418,@apaaja3181,gajadi beli model murah barang pasti murah,Bullying,2 Juni 2020,@eeericko
419,@idoyalam,modelny murah apalagi barang,Bullying,2 Juni 2020,@eeericko
420,@enaknyaja,muka macem ngamen gegaya selingkuh untung ga sm jane lg kebanting sm jane muke,Bullying,2 Juni 2020,@eeericko
421,@pebriiidhyn,males beli guagara gara ada lonte,Bullying,2 Juni 2020,@eeericko
422,@aldiazz_mp,padahal bulug gini muka ehh maaf,Bullying,2 Juni 2020,@eeericko
423,@zhrmldiaa_,padahal canti jessica kemana mana,Non-bullying,2 Juni 2020,@eeericko
424,@ashha._,kasih bidadari ma milih sampah,Bullying,2 Juni 2020,@eeericko
425,@inxxzrbc,yae muka pas bangga njing,Bullying,2 Juni 2020,@eeericko
426,@bubblecndyy,wah ibarat lebih milih iblis daripada bidadari,Bullying,2 Juni 2020,@eeericko
427,@ohh_alah,kanahaya knp gk truck sampah kek muka sampah,Bullying,2 Juni 2020,@eeericko
428,@cep.juned,gajadi beli takut ketular lonte,Bullying,2 Juni 2020,@eeericko
429,@abigailfrnt,ha bisa lihat hujat kle kasi si listy kontrak d copot  hujat mang dunia sgt kejam,Non-bullying,2 Juni 2020,@eeericko
430,@ken_prohd,jang beli baju lonte entar kena sial,Bullying,2 Juni 2020,@eeericko
431,@kecoakgemoi._,dasar cewe lo lonte tau kau,Bullying,2 Juni 2020,@eeericko
432,@levinanj,sini pada aku gapaham tolong,Non-bullying,2 Juni 2020,@eeericko
433,@angelicaangel______,tengah manusia apa monyet kulit corak batik,Bullying,2 Juni 2020,@eeericko
434,@aditmg04,muka sama anjing gwelebih ganteng anjing gwe rik,Bullying,2 Juni 2020,@eeericko
435,@fad_wolfie,buat kalian para ns lonte jgn tkut listi misk krna pecat krna dia bsa kaya lgi dgn cara lonte,Bullying,2 Juni 2020,@eeericko
436,@elirahma7,etdah ninggal baik demi lonte situ waras mas,Bullying,2 Juni 2020,@eeericko
437,@annafrrozen,gw lihat cewek murah posting,Bullying,2 Juni 2020,@eeericko
438,@xrnggaty__27,kedua sebe kan batik apa orang warna kek taek babi si,Bullying,2 Juni 2020,@eeericko
439,@rahmahakya,muka jelek banget siii serem kek set,Bullying,2 Juni 2020,@eeericko
440,@dzlsmnaa,foto ketiga jablay murah bu,Bullying,2 Juni 2020,@eeericko
441,@gadiiiiisssss,jelek tukang selingkuh lo buriq,Bullying,2 Juni 2020,@eeericko
442,@mvq024,kalian se suci apa sampai hina dia segitu,Non-bullying,2 Juni 2020,@eeericko
443,@yudiansyah_anggara,nding follow pada unfollow udeh gausah ribet,Non-bullying,2 Juni 2020,@eeericko
444,@ravi18dihan_,dekil tato mampus karir lo hancurr pantek,Bullying,2 Juni 2020,@eeericko
445,@hikmahauliasari_01,ada li ma milih batu nis,Bullying,2 Juni 2020,@eeericko
446,@lilac_loversss,alas set ama set karna kalo set sama bidadari sayap rontok ceker gigit jambak,Bullying,2 Juni 2020,@eeericko
447,@viukorean,lagi juga erick gak ada akhlak jelek lagi listy juga jelek,Bullying,2 Juni 2020,@eeericko
448,@haeyraa_,set ma set mahh emg cocokk udee,Bullying,2 Juni 2020,@eeericko
449,@mochzakin,lonte kurus pucet kek mayat hidup,Bullying,2 Juni 2020,@eeericko
450,@maulna_adnan,muka apa tutup panci wkwkekek jelek ampe ke ubun ubun,Bullying,2 Juni 2020,@eeericko
451,@govinda_hutasoit, smngat trus bro tiada manusia sempurna k pasti bisa bangkit n jadi lebih baik gbu keepstrong,Non-bullying,9 Agustus 2020,@eeericko
